字詞名,注音一式
旁徵博引,ㄆㄤˊ　ㄓㄥ　ㄅㄛˊ　ㄧㄣˇ
旁敲側擊,ㄆㄤˊ　ㄑㄧㄠ　ㄘㄜˋ　ㄐㄧˊ
旁觀者清,ㄆㄤˊ　ㄍㄨㄢ　ㄓㄜˇ　ㄑㄧㄥ
旁聽席,ㄆㄤˊ　ㄊㄧㄥ　ㄒㄧˊ
旁門左道,ㄆㄤˊ　ㄇㄣˊ　ㄗㄨㄛˇ　ㄉㄠˋ
彷徨失措,ㄆㄤˊ　ㄏㄨㄤˊ　ㄕ　ㄘㄨㄛˋ
噴霧器,ㄆㄣ　ㄨˋ　ㄑㄧˋ
噴水池,ㄆㄣ　ㄕㄨㄟˇ　ㄔˊ
噴射機,ㄆㄣ　ㄕㄜˋ　ㄐㄧ
判若兩人,ㄆㄢˋ　ㄖㄨㄛˋ　ㄌㄧㄤˇ　ㄖㄣˊ
判決書,ㄆㄢˋ　ㄐㄩㄝˊ　ㄕㄨ
判斷力,ㄆㄢˋ　ㄉㄨㄢˋ　ㄌㄧˋ
盤根錯節,ㄆㄢˊ　ㄍㄣ　ㄘㄨㄛˋ　ㄐㄧㄝˊ
盤腿而坐,ㄆㄢˊ　ㄊㄨㄟˇ　ㄦˊ　ㄗㄨㄛˋ
盤尼西林,ㄆㄢˊ　ㄋㄧˊ　ㄒㄧ　ㄌㄧㄣˊ
攀山越嶺,ㄆㄢ　ㄕㄢ　ㄩㄝˋ　ㄌㄧㄥˇ
攀龍附鳳,ㄆㄢ　ㄌㄨㄥˊ　ㄈㄨˋ　ㄈㄥˋ
潘安再世,ㄆㄢ　ㄢ　ㄗㄞˋ　ㄕˋ
潘他唑新,ㄆㄢ　ㄊㄚ　ㄗㄨㄛˋ　ㄒㄧㄣ
番禺縣,ㄆㄢ　ㄩˊ　ㄒㄧㄢˋ
剖腹生產,ㄆㄡˇ　ㄈㄨˋ　ㄕㄥ　ㄔㄢˇ
泡沫經濟,ㄆㄠˋ　ㄇㄛˋ　ㄐㄧㄥ　ㄐㄧˋ
泡沫紅茶,ㄆㄠˋ　ㄇㄛˋ　ㄏㄨㄥˊ　ㄔㄚˊ
泡泡糖,ㄆㄠˋ　ㄆㄠˋ　ㄊㄤˊ
跑新聞,ㄆㄠˇ　ㄒㄧㄣ　ㄨㄣˊ
跑龍套,ㄆㄠˇ　ㄌㄨㄥˊ　ㄊㄠˋ
跑單幫,ㄆㄠˇ　ㄉㄢ　ㄅㄤ
跑不掉,ㄆㄠˇ　ㄅㄨˋ　ㄉㄧㄠˋ　（變）ㄆㄠˇ　ㄅㄨˊ　ㄉㄧㄠˋ
拋物線,ㄆㄠ　ㄨˋ　ㄒㄧㄢˋ
拋在腦後,ㄆㄠ　ㄗㄞˋ　ㄋㄠˇ　ㄏㄡˋ
拋磚引玉,ㄆㄠ　ㄓㄨㄢ　ㄧㄣˇ　ㄩˋ
拋繡球,ㄆㄠ　ㄒㄧㄡˋ　ㄑㄧㄡˊ
拋頭露面,ㄆㄠ　ㄊㄡˊ　ㄌㄡˋ　ㄇㄧㄢˋ
配電盤,ㄆㄟˋ　ㄉㄧㄢˋ　ㄆㄢˊ
賠不是,ㄆㄟˊ　ㄅㄨˋ　ㄕˋ　（變）ㄆㄟˊ　ㄅㄨˊ　ㄕˋ
賠了夫人又折兵,ㄆㄟˊ　˙ㄌㄜ　ㄈㄨ　ㄖㄣˊ　ㄧㄡˋ　ㄓㄜˊ　ㄅㄧㄥ
陪審團,ㄆㄟˊ　ㄕㄣˇ　ㄊㄨㄢˊ
陪不是,ㄆㄟˊ　ㄅㄨˋ　ㄕˋ　（變）ㄆㄟˊ　ㄅㄨˊ　ㄕˋ
胚芽米,ㄆㄟ　ㄧㄚˊ　ㄇㄧˇ
派生詞,ㄆㄞˋ　ㄕㄥ　ㄘˊ
派上用場,ㄆㄞˋ　ㄕㄤˋ　ㄩㄥˋ　ㄔㄤˇ
派出所,ㄆㄞˋ　ㄔㄨ　ㄙㄨㄛˇ
牌照稅,ㄆㄞˊ　ㄓㄠˋ　ㄕㄨㄟˋ
牌告利率,ㄆㄞˊ　ㄍㄠˋ　ㄌㄧˋ　ㄌㄩˋ
排水溝,ㄆㄞˊ　ㄕㄨㄟˇ　ㄍㄡ
排山倒海,ㄆㄞˊ　ㄕㄢ　ㄉㄠˇ　ㄏㄞˇ
排除萬難,ㄆㄞˊ　ㄔㄨˊ　ㄨㄢˋ　ㄋㄢˊ
排泄物,ㄆㄞˊ　ㄒㄧㄝˋ　ㄨˋ
排行榜,ㄆㄞˊ　ㄏㄤˊ　ㄅㄤˇ
排難解紛,ㄆㄞˊ　ㄋㄢˋ　ㄐㄧㄝˇ　ㄈㄣ
排他性,ㄆㄞˊ　ㄊㄚ　ㄒㄧㄥˋ
排風機,ㄆㄞˊ　ㄈㄥ　ㄐㄧ
拍外景,ㄆㄞ　ㄨㄞˋ　ㄐㄧㄥˇ
拍案叫絕,ㄆㄞ　ㄢˋ　ㄐㄧㄠˋ　ㄐㄩㄝˊ
拍手稱快,ㄆㄞ　ㄕㄡˇ　ㄔㄥ　ㄎㄨㄞˋ
拍立得相機,ㄆㄞ　ㄌㄧˋ　ㄉㄜˊ　ㄒㄧㄤˋ　ㄐㄧ
拍馬屁,ㄆㄞ　ㄇㄚˇ　ㄆㄧˋ
醱酵乳,ㄆㄛˋ　ㄒㄧㄠˋ　ㄖㄨˇ
破音字,ㄆㄛˋ　ㄧㄣ　ㄗˋ
破嗓子,ㄆㄛˋ　ㄙㄤˇ　˙ㄗ
破傷風,ㄆㄛˋ　ㄕㄤ　ㄈㄥ
破折號,ㄆㄛˋ　ㄓㄜˊ　ㄏㄠˋ
破繭而出,ㄆㄛˋ　ㄐㄧㄢˇ　ㄦˊ　ㄔㄨ
破鏡重圓,ㄆㄛˋ　ㄐㄧㄥˋ　ㄔㄨㄥˊ　ㄩㄢˊ
破紀錄,ㄆㄛˋ　ㄐㄧˋ　ㄌㄨˋ
破落戶,ㄆㄛˋ　ㄌㄨㄛˋ　ㄏㄨˋ
破口大罵,ㄆㄛˋ　ㄎㄡˇ　ㄉㄚˋ　ㄇㄚˋ
破銅爛鐵,ㄆㄛˋ　ㄊㄨㄥˊ　ㄌㄢˋ　ㄊㄧㄝˇ
破天荒,ㄆㄛˋ　ㄊㄧㄢ　ㄏㄨㄤ
破涕為笑,ㄆㄛˋ　ㄊㄧˋ　ㄨㄟˊ　ㄒㄧㄠˋ
破釜沉舟,ㄆㄛˋ　ㄈㄨˇ　ㄔㄣˊ　ㄓㄡ
破門而入,ㄆㄛˋ　ㄇㄣˊ　ㄦˊ　ㄖㄨˋ
迫在眉睫,ㄆㄛˋ　ㄗㄞˋ　ㄇㄟˊ　ㄐㄧㄝˊ
迫不及待,ㄆㄛˋ　ㄅㄨˋ　ㄐㄧˊ　ㄉㄞˋ
迫不得已,ㄆㄛˋ　ㄅㄨˋ　ㄉㄜˊ　ㄧˇ
頗為可觀,ㄆㄛˇ　ㄨㄟˊ　ㄎㄜˇ　ㄍㄨㄢ
鄱陽湖,ㄆㄛˊ　ㄧㄤˊ　ㄏㄨˊ
婆婆媽媽,ㄆㄛˊ　ㄆㄛˊ　ㄇㄚ　ㄇㄚ
潑冷水,ㄆㄛ　ㄌㄥˇ　ㄕㄨㄟˇ
爬山虎,ㄆㄚˊ　ㄕㄢ　ㄏㄨˇ
爬牆虎,ㄆㄚˊ　ㄑㄧㄤˊ　ㄏㄨˇ
爬格子,ㄆㄚˊ　ㄍㄜˊ　˙ㄗ
部會首長,ㄅㄨˋ　ㄏㄨㄟˋ　ㄕㄡˇ　ㄓㄤˇ
步罡踏斗,ㄅㄨˋ　ㄍㄤ　ㄊㄚˋ　ㄉㄡˇ
步步為營,ㄅㄨˋ　ㄅㄨˋ　ㄨㄟˊ　ㄧㄥˊ
布衣之交,ㄅㄨˋ　ㄧ　ㄓ　ㄐㄧㄠ
布穀鳥,ㄅㄨˋ　ㄍㄨˇ　ㄋㄧㄠˇ
布告欄,ㄅㄨˋ　ㄍㄠˋ　ㄌㄢˊ
布袋戲,ㄅㄨˋ　ㄉㄞˋ　ㄒㄧˋ
不約而同,ㄅㄨˋ　ㄩㄝ　ㄦˊ　ㄊㄨㄥˊ
不予置評,ㄅㄨˋ　ㄩˇ　ㄓˋ　ㄆㄧㄥˊ
不踰矩,ㄅㄨˋ　ㄩˊ　ㄐㄩˇ
不枉此生,ㄅㄨˋ　ㄨㄤˇ　ㄘˇ　ㄕㄥ
不聞不問,ㄅㄨˋ　ㄨㄣˊ　ㄅㄨˋ　ㄨㄣˋ　（變）ㄅㄨˋ　ㄨㄣˊ　ㄅㄨˊ　ㄨㄣˋ
不為所動,ㄅㄨˋ　ㄨㄟˊ　ㄙㄨㄛˇ　ㄉㄨㄥˋ
不為過,ㄅㄨˋ　ㄨㄟˊ　ㄍㄨㄛˋ
不外乎,ㄅㄨˋ　ㄨㄞˋ　ㄏㄨ　（變）ㄅㄨˊ　ㄨㄞˋ　ㄏㄨ
不務正業,ㄅㄨˋ　ㄨˋ　ㄓㄥˋ　ㄧㄝˋ　（變）ㄅㄨˊ　ㄨˋ　ㄓㄥˋ　ㄧㄝˋ
不無小補,ㄅㄨˋ　ㄨˊ　ㄒㄧㄠˇ　ㄅㄨˇ
不厭其詳,ㄅㄨˋ　ㄧㄢˋ　ㄑㄧˊ　ㄒㄧㄤˊ　（變）ㄅㄨˊ　ㄧㄢˋ　ㄑㄧˊ　ㄒㄧㄤˊ
不厭其煩,ㄅㄨˋ　ㄧㄢˋ　ㄑㄧˊ　ㄈㄢˊ　（變）ㄅㄨˊ　ㄧㄢˋ　ㄑㄧˊ　ㄈㄢˊ
不由自主,ㄅㄨˋ　ㄧㄡˊ　ㄗˋ　ㄓㄨˇ
不言而喻,ㄅㄨˋ　ㄧㄢˊ　ㄦˊ　ㄩˋ
不由分說,ㄅㄨˋ　ㄧㄡˊ　ㄈㄣ　ㄕㄨㄛ
不由得,ㄅㄨˋ　ㄧㄡˊ　˙ㄉㄜ
不藥而癒,ㄅㄨˋ　ㄧㄠˋ　ㄦˊ　ㄩˋ　（變）ㄅㄨˊ　ㄧㄠˋ　ㄦˊ　ㄩˋ
不要緊,ㄅㄨˋ　ㄧㄠˋ　ㄐㄧㄣˇ　（變）ㄅㄨˊ　ㄧㄠˋ　ㄐㄧㄣˇ
不要臉,ㄅㄨˋ　ㄧㄠˋ　ㄌㄧㄢˇ　（變）ㄅㄨˊ　ㄧㄠˋ　ㄌㄧㄢˇ
不夜城,ㄅㄨˋ　ㄧㄝˋ　ㄔㄥˊ　（變）ㄅㄨˊ　ㄧㄝˋ　ㄔㄥˊ
不翼而飛,ㄅㄨˋ　ㄧˋ　ㄦˊ　ㄈㄟ　（變）ㄅㄨˊ　ㄧˋ　ㄦˊ　ㄈㄟ
不義之財,ㄅㄨˋ　ㄧˋ　ㄓ　ㄘㄞˊ　（變）ㄅㄨˊ　ㄧˋ　ㄓ　ㄘㄞˊ
不亦樂乎,ㄅㄨˋ　ㄧˋ　ㄌㄜˋ　ㄏㄨ　（變）ㄅㄨˊ　ㄧˋ　ㄌㄜˋ　ㄏㄨ
不以為忤,ㄅㄨˋ　ㄧˇ　ㄨㄟˊ　ㄨˇ
不以為然,ㄅㄨˋ　ㄧˇ　ㄨㄟˊ　ㄖㄢˊ
不遺餘力,ㄅㄨˋ　ㄧˊ　ㄩˊ　ㄌㄧˋ
不一樣,ㄅㄨˋ　ㄧ　ㄧㄤˋ　（變）ㄅㄨˋ　ㄧˊ　ㄧㄤˋ
不一定,ㄅㄨˋ　ㄧ　ㄉㄧㄥˋ　（變）ㄅㄨˋ　ㄧˊ　ㄉㄧㄥˋ
不一而足,ㄅㄨˋ　ㄧ　ㄦˊ　ㄗㄨˊ
不二價,ㄅㄨˋ　ㄦˋ　ㄐㄧㄚˋ　（變）ㄅㄨˊ　ㄦˋ　ㄐㄧㄚˋ
不二法門,ㄅㄨˋ　ㄦˋ　ㄈㄚˇ　ㄇㄣˊ　（變）ㄅㄨˊ　ㄦˋ　ㄈㄚˇ　ㄇㄣˊ
不按牌理出牌,ㄅㄨˋ　ㄢˋ　ㄆㄞˊ　ㄌㄧˇ　ㄔㄨ　ㄆㄞˊ　（變）ㄅㄨˊ　ㄢˋ　ㄆㄞˊ　ㄌㄧˇ　ㄔㄨ　ㄆㄞˊ
不安分,ㄅㄨˋ　ㄢ　ㄈㄣˋ
不礙事,ㄅㄨˋ　ㄞˋ　ㄕˋ　（變）ㄅㄨˊ　ㄞˋ　ㄕˋ
不溯既往,ㄅㄨˋ　ㄙㄨˋ　ㄐㄧˋ　ㄨㄤˇ　（變）ㄅㄨˊ　ㄙㄨˋ　ㄐㄧˋ　ㄨㄤˇ
不速之客,ㄅㄨˋ　ㄙㄨˋ　ㄓ　ㄎㄜˋ　（變）ㄅㄨˊ　ㄙㄨˋ　ㄓ　ㄎㄜˋ
不三不四,ㄅㄨˋ　ㄙㄢ　ㄅㄨˋ　ㄙˋ　（變）ㄅㄨˋ　ㄙㄢ　ㄅㄨˊ　ㄙˋ
不辭辛勞,ㄅㄨˋ　ㄘˊ　ㄒㄧㄣ　ㄌㄠˊ
不作聲,ㄅㄨˋ　ㄗㄨㄛˋ　ㄕㄥ　（變）ㄅㄨˊ　ㄗㄨㄛˋ　ㄕㄥ
不足為訓,ㄅㄨˋ　ㄗㄨˊ　ㄨㄟˊ　ㄒㄩㄣˋ
不足為奇,ㄅㄨˋ　ㄗㄨˊ　ㄨㄟˊ　ㄑㄧˊ
不足掛齒,ㄅㄨˋ　ㄗㄨˊ　ㄍㄨㄚˋ　ㄔˇ
不在意,ㄅㄨˋ　ㄗㄞˋ　ㄧˋ　（變）ㄅㄨˊ　ㄗㄞˋ　ㄧˋ
不在話下,ㄅㄨˋ　ㄗㄞˋ　ㄏㄨㄚˋ　ㄒㄧㄚˋ　（變）ㄅㄨˊ　ㄗㄞˋ　ㄏㄨㄚˋ　ㄒㄧㄚˋ
不在乎,ㄅㄨˋ　ㄗㄞˋ　ㄏㄨ　（變）ㄅㄨˊ　ㄗㄞˋ　ㄏㄨ
不擇手段,ㄅㄨˋ　ㄗㄜˊ　ㄕㄡˇ　ㄉㄨㄢˋ
不自在,ㄅㄨˋ　ㄗˋ　ㄗㄞˋ　（變）ㄅㄨˊ　ㄗˋ　ㄗㄞˋ
不自覺,ㄅㄨˋ　ㄗˋ　ㄐㄩㄝˊ　（變）ㄅㄨˊ　ㄗˋ　ㄐㄩㄝˊ
不自量力,ㄅㄨˋ　ㄗˋ　ㄌㄧㄤˋ　ㄌㄧˋ　（變）ㄅㄨˊ　ㄗˋ　ㄌㄧㄤˋ　ㄌㄧˋ
不容易,ㄅㄨˋ　ㄖㄨㄥˊ　ㄧˋ
不容置疑,ㄅㄨˋ　ㄖㄨㄥˊ　ㄓˋ　ㄧˊ
不容置喙,ㄅㄨˋ　ㄖㄨㄥˊ　ㄓˋ　ㄏㄨㄟˋ
不容分說,ㄅㄨˋ　ㄖㄨㄥˊ　ㄈㄣ　ㄕㄨㄛ
不辱使命,ㄅㄨˋ　ㄖㄨˋ　ㄕˇ　ㄇㄧㄥˋ　（變）ㄅㄨˊ　ㄖㄨˋ　ㄕˇ　ㄇㄧㄥˋ
不入虎穴，焉得虎子,ㄅㄨˋ　ㄖㄨˋ　ㄏㄨˇ　ㄒㄩㄝˋ　ㄧㄢ　ㄉㄜˊ　ㄏㄨˇ　ㄗˇ　（變）ㄅㄨˊ　ㄖㄨˋ　ㄏㄨˇ　ㄒㄩㄝˋ　ㄧㄢ　ㄉㄜˊ　ㄏㄨˇ　ㄗˇ
不如意,ㄅㄨˋ　ㄖㄨˊ　ㄧˋ
不入流,ㄅㄨˋ　ㄖㄨˋ　ㄌㄧㄡˊ　（變）ㄅㄨˊ　ㄖㄨˋ　ㄌㄧㄡˊ
不人道,ㄅㄨˋ　ㄖㄣˊ　ㄉㄠˋ
不舒服,ㄅㄨˋ　ㄕㄨ　ㄈㄨˊ
不聲不響,ㄅㄨˋ　ㄕㄥ　ㄅㄨˋ　ㄒㄧㄤˇ
不勝唏噓,ㄅㄨˋ　ㄕㄥ　ㄒㄧ　ㄒㄩ
不勝其擾,ㄅㄨˋ　ㄕㄥ　ㄑㄧˊ　ㄖㄠˇ
不勝其煩,ㄅㄨˋ　ㄕㄥ　ㄑㄧˊ　ㄈㄢˊ
不勝酒力,ㄅㄨˋ　ㄕㄥ　ㄐㄧㄡˇ　ㄌㄧˋ
不勝枚舉,ㄅㄨˋ　ㄕㄥ　ㄇㄟˊ　ㄐㄩˇ
不上不下,ㄅㄨˋ　ㄕㄤˋ　ㄅㄨˋ　ㄒㄧㄚˋ　（變）ㄅㄨˊ　ㄕㄤˋ　ㄅㄨˊ　ㄒㄧㄚˋ
不受用,ㄅㄨˋ　ㄕㄡˋ　ㄩㄥˋ　（變）ㄅㄨˊ　ㄕㄡˋ　ㄩㄥˋ
不識時務,ㄅㄨˋ　ㄕˋ　ㄕˊ　ㄨˋ　（變）ㄅㄨˊ　ㄕˋ　ㄕˊ　ㄨˋ
不識抬舉,ㄅㄨˋ　ㄕˋ　ㄊㄞˊ　ㄐㄩˇ　（變）ㄅㄨˊ　ㄕˋ　ㄊㄞˊ　ㄐㄩˇ
不是滋味,ㄅㄨˋ　ㄕˋ　ㄗ　ㄨㄟˋ　（變）ㄅㄨˊ　ㄕˋ　ㄗ　ㄨㄟˋ
不時之需,ㄅㄨˋ　ㄕˊ　ㄓ　ㄒㄩ
不失為,ㄅㄨˋ　ㄕ　ㄨㄟˊ
不出所料,ㄅㄨˋ　ㄔㄨ　ㄙㄨㄛˇ　ㄌㄧㄠˋ
不稱心,ㄅㄨˋ　ㄔㄥˋ　ㄒㄧㄣ　（變）ㄅㄨˊ　ㄔㄥˋ　ㄒㄧㄣ
不成材,ㄅㄨˋ　ㄔㄥˊ　ㄘㄞˊ
不成器,ㄅㄨˋ　ㄔㄥˊ　ㄑㄧˋ
不成體統,ㄅㄨˋ　ㄔㄥˊ　ㄊㄧˇ　ㄊㄨㄥˇ
不恥下問,ㄅㄨˋ　ㄔˇ　ㄒㄧㄚˋ　ㄨㄣˋ
不中聽,ㄅㄨˋ　ㄓㄨㄥˋ　ㄊㄧㄥ　（變）ㄅㄨˊ　ㄓㄨㄥˋ　ㄊㄧㄥ
不中用,ㄅㄨˋ　ㄓㄨㄥˋ　ㄩㄥˋ　（變）ㄅㄨˊ　ㄓㄨㄥˋ　ㄩㄥˋ
不著痕跡,ㄅㄨˋ　ㄓㄨㄛˊ　ㄏㄣˊ　ㄐㄧ
不著邊際,ㄅㄨˋ　ㄓㄨㄛˊ　ㄅㄧㄢ　ㄐㄧˋ
不折不扣,ㄅㄨˋ　ㄓㄜˊ　ㄅㄨˋ　ㄎㄡˋ　（變）ㄅㄨˋ　ㄓㄜˊ　ㄅㄨˊ　ㄎㄡˋ
不置可否,ㄅㄨˋ　ㄓˋ　ㄎㄜˇ　ㄈㄡˇ　（變）ㄅㄨˊ　ㄓˋ　ㄎㄜˇ　ㄈㄡˇ
不治之症,ㄅㄨˋ　ㄓˋ　ㄓ　ㄓㄥˋ　（變）ㄅㄨˊ　ㄓˋ　ㄓ　ㄓㄥˋ
不忮不求,ㄅㄨˋ　ㄓˋ　ㄅㄨˋ　ㄑㄧㄡˊ　（變）ㄅㄨˊ　ㄓˋ　ㄅㄨˋ　ㄑㄧㄡˊ
不至於,ㄅㄨˋ　ㄓˋ　ㄩˊ　（變）ㄅㄨˊ　ㄓˋ　ㄩˊ
不值得,ㄅㄨˋ　ㄓˊ　˙ㄉㄜ
不知所云,ㄅㄨˋ　ㄓ　ㄙㄨㄛˇ　ㄩㄣˊ
不知所措,ㄅㄨˋ　ㄓ　ㄙㄨㄛˇ　ㄘㄨㄛˋ
不知所終,ㄅㄨˋ　ㄓ　ㄙㄨㄛˇ　ㄓㄨㄥ
不知死活,ㄅㄨˋ　ㄓ　ㄙˇ　ㄏㄨㄛˊ
不知去向,ㄅㄨˋ　ㄓ　ㄑㄩˋ　ㄒㄧㄤˋ
不知情,ㄅㄨˋ　ㄓ　ㄑㄧㄥˊ
不知輕重,ㄅㄨˋ　ㄓ　ㄑㄧㄥ　ㄓㄨㄥˋ
不知好歹,ㄅㄨˋ　ㄓ　ㄏㄠˇ　ㄉㄞˇ
不知道,ㄅㄨˋ　ㄓ　ㄉㄠˋ
不知不覺,ㄅㄨˋ　ㄓ　ㄅㄨˋ　ㄐㄩㄝˊ
不支倒地,ㄅㄨˋ　ㄓ　ㄉㄠˇ　ㄉㄧˋ
不尋常,ㄅㄨˋ　ㄒㄩㄣˊ　ㄔㄤˊ
不學無術,ㄅㄨˋ　ㄒㄩㄝˊ　ㄨˊ　ㄕㄨˋ
不需要,ㄅㄨˋ　ㄒㄩ　ㄧㄠˋ
不虛此行,ㄅㄨˋ　ㄒㄩ　ㄘˇ　ㄒㄧㄥˊ
不省人事,ㄅㄨˋ　ㄒㄧㄥˇ　ㄖㄣˊ　ㄕˋ
不形於色,ㄅㄨˋ　ㄒㄧㄥˊ　ㄩˊ　ㄙㄜˋ
不相上下,ㄅㄨˋ　ㄒㄧㄤ　ㄕㄤˋ　ㄒㄧㄚˋ
不相干,ㄅㄨˋ　ㄒㄧㄤ　ㄍㄢ
不鏽鋼,ㄅㄨˋ　ㄒㄧㄡˋ　ㄍㄤ　（變）ㄅㄨˊ　ㄒㄧㄡˋ　ㄍㄤ
不修邊幅,ㄅㄨˋ　ㄒㄧㄡ　ㄅㄧㄢ　ㄈㄨˊ
不小心,ㄅㄨˋ　ㄒㄧㄠˇ　ㄒㄧㄣ
不稀奇,ㄅㄨˋ　ㄒㄧ　ㄑㄧˊ
八拜之交,ㄅㄚ　ㄅㄞˋ　ㄓ　ㄐㄧㄠ
八寶飯,ㄅㄚ　ㄅㄠˇ　ㄈㄢˋ
八寶粥,ㄅㄚ　ㄅㄠˇ　ㄓㄡ
八面玲瓏,ㄅㄚ　ㄇㄧㄢˋ　ㄌㄧㄥˊ　ㄌㄨㄥˊ
八面威風,ㄅㄚ　ㄇㄧㄢˋ　ㄨㄟ　ㄈㄥ
八年抗戰,ㄅㄚ　ㄋㄧㄢˊ　ㄎㄤˋ　ㄓㄢˋ
八股文,ㄅㄚ　ㄍㄨˇ　ㄨㄣˊ
八號分機,ㄅㄚ　ㄏㄠˋ　ㄈㄣ　ㄐㄧ
八家將,ㄅㄚ　ㄐㄧㄚ　ㄐㄧㄤˋ
八仙過海,ㄅㄚ　ㄒㄧㄢ　ㄍㄨㄛˋ　ㄏㄞˇ
八二三炮戰,ㄅㄚ　ㄦˋ　ㄙㄢ　ㄆㄠˋ　ㄓㄢˋ
八一七公報,ㄅㄚ　ㄧ　ㄑㄧ　ㄍㄨㄥ　ㄅㄠˋ
八佾舞,ㄅㄚ　ㄧˋ　ㄨˇ
巴不得,ㄅㄚ　ㄅㄨˋ　˙ㄉㄜ
芭蕾舞,ㄅㄚ　ㄌㄟˇ　ㄨˇ
拔得頭籌,ㄅㄚˊ　ㄉㄜˊ　ㄊㄡˊ　ㄔㄡˊ
拔刀相助,ㄅㄚˊ　ㄉㄠ　ㄒㄧㄤ　ㄓㄨˋ
拔腿就跑,ㄅㄚˊ　ㄊㄨㄟˇ　ㄐㄧㄡˋ　ㄆㄠˇ
跋山涉水,ㄅㄚˊ　ㄕㄢ　ㄕㄜˋ　ㄕㄨㄟˇ
罷免權,ㄅㄚˋ　ㄇㄧㄢˇ　ㄑㄩㄢˊ
波濤洶湧,ㄅㄛ　ㄊㄠˊ　ㄒㄩㄥ　ㄩㄥˇ
波瀾壯闊,ㄅㄛ　ㄌㄢˊ　ㄓㄨㄤˋ　ㄎㄨㄛˋ
波羅蜜,ㄅㄛ　ㄌㄨㄛˊ　ㄇㄧˋ
波光蕩漾,ㄅㄛ　ㄍㄨㄤ　ㄉㄤˋ　ㄧㄤˋ
波光粼粼,ㄅㄛ　ㄍㄨㄤ　ㄌㄧㄣˊ　ㄌㄧㄣˊ
玻璃圈,ㄅㄛ　ㄌㄧˊ　ㄑㄩㄢ
玻璃纖維,ㄅㄛ　ㄌㄧˊ　ㄒㄧㄢ　ㄨㄟˊ
玻璃紙,ㄅㄛ　ㄌㄧˊ　ㄓˇ
玻璃絲襪,ㄅㄛ　ㄌㄧˊ　ㄙ　ㄨㄚˋ
玻璃帷幕,ㄅㄛ　ㄌㄧˊ　ㄨㄟˊ　ㄇㄨˋ
撥亂反正,ㄅㄛ　ㄌㄨㄢˋ　ㄈㄢˇ　ㄓㄥˋ
撥雲見日,ㄅㄛ　ㄩㄣˊ　ㄐㄧㄢˋ　ㄖˋ
伯仲之間,ㄅㄛˊ　ㄓㄨㄥˋ　ㄓ　ㄐㄧㄢ
柏金森氏病,ㄅㄛˊ　ㄐㄧㄣ　ㄙㄣ　ㄕˋ　ㄅㄧㄥˋ
舶來品,ㄅㄛˊ　ㄌㄞˊ　ㄆㄧㄣˇ
博大精深,ㄅㄛˊ　ㄉㄚˋ　ㄐㄧㄥ　ㄕㄣ
博覽會,ㄅㄛˊ　ㄌㄢˇ　ㄏㄨㄟˋ
博古通今,ㄅㄛˊ　ㄍㄨˇ　ㄊㄨㄥ　ㄐㄧㄣ
博施濟眾,ㄅㄛˊ　ㄕ　ㄐㄧˋ　ㄓㄨㄥˋ
博士學位,ㄅㄛˊ　ㄕˋ　ㄒㄩㄝˊ　ㄨㄟˋ
博物館,ㄅㄛˊ　ㄨˋ　ㄍㄨㄢˇ
博聞強記,ㄅㄛˊ　ㄨㄣˊ　ㄑㄧㄤˊ　ㄐㄧˋ
薄利多銷,ㄅㄛˊ　ㄌㄧˋ　ㄉㄨㄛ　ㄒㄧㄠ
薄荷腦,ㄅㄛˋ　ㄏㄜˊ　ㄋㄠˇ
薄荷油,ㄅㄛˋ　ㄏㄜˊ　ㄧㄡˊ
白報紙,ㄅㄞˊ　ㄅㄠˋ　ㄓˇ
白璧無瑕,ㄅㄞˊ　ㄅㄧˋ　ㄨˊ　ㄒㄧㄚˊ
白皮書,ㄅㄞˊ　ㄆㄧˊ　ㄕㄨ
白馬王子,ㄅㄞˊ　ㄇㄚˇ　ㄨㄤˊ　ㄗˇ
白茫茫,ㄅㄞˊ　ㄇㄤˊ　ㄇㄤˊ
白木耳,ㄅㄞˊ　ㄇㄨˋ　ㄦˇ
白帶魚,ㄅㄞˊ　ㄉㄞˋ　ㄩˊ
白頭偕老,ㄅㄞˊ　ㄊㄡˊ　ㄒㄧㄝˊ　ㄌㄠˇ
白頭翁,ㄅㄞˊ　ㄊㄡˊ　ㄨㄥ
白內障,ㄅㄞˊ　ㄋㄟˋ　ㄓㄤˋ
白蘭地,ㄅㄞˊ　ㄌㄢˊ　ㄉㄧˋ
白蓮教,ㄅㄞˊ　ㄌㄧㄢˊ　ㄐㄧㄠˋ
白領階級,ㄅㄞˊ　ㄌㄧㄥˇ　ㄐㄧㄝ　ㄐㄧˊ
白開水,ㄅㄞˊ　ㄎㄞ　ㄕㄨㄟˇ
白花花,ㄅㄞˊ　ㄏㄨㄚ　ㄏㄨㄚ
白話文,ㄅㄞˊ　ㄏㄨㄚˋ　ㄨㄣˊ
白血病,ㄅㄞˊ　ㄒㄧㄝˇ　ㄅㄧㄥˋ
白血球,ㄅㄞˊ　ㄒㄧㄝˇ　ㄑㄧㄡˊ
白紙黑字,ㄅㄞˊ　ㄓˇ　ㄏㄟ　ㄗˋ
白煮蛋,ㄅㄞˊ　ㄓㄨˇ　ㄉㄢˋ
白種人,ㄅㄞˊ　ㄓㄨㄥˇ　ㄖㄣˊ
